rank,stress_cap,derisk_cap,panic_cap,override_scale,min_median_terminal,min_pass_rate_terminal,avg_full_terminal,avg_full_sharpe,worst_fold_maxdd,worst_stress_maxdd,full_candidate_maxdd,fold_margin,stress_margin,full_margin,min_margin,wealth_dd_ratio,robust_score
113,0.16,0.24,0.08,1.05,1.7921372736356969,1.0,27.892158108183686,1.0200402579811012,-0.10916856690477061,-0.2535937046373705,-0.27643869998416704,0.11083143309522939,0.012406295362629494,-0.005438699984167017,-0.005438699984167017,100.89816697076496,78.51805614524154
114,0.16,0.24,0.1,1.05,1.7921372736356969,1.0,27.892158108183686,1.0200402579811012,-0.10916856690477061,-0.2535937046373705,-0.27643869998416704,0.11083143309522939,0.012406295362629494,-0.005438699984167017,-0.005438699984167017,100.89816697076496,78.51805614524154
115,0.16,0.24,0.12,1.05,1.7921372736356969,1.0,27.892158108183686,1.0200402579811012,-0.10916856690477061,-0.2535937046373705,-0.27643869998416704,0.11083143309522939,0.012406295362629494,-0.005438699984167017,-0.005438699984167017,100.89816697076496,78.51805614524154
116,0.16,0.24,0.14,1.05,1.7921372736356969,1.0,27.892158108183686,1.0200402579811012,-0.10916856690477061,-0.2535937046373705,-0.27643869998416704,0.11083143309522939,0.012406295362629494,-0.005438699984167017,-0.005438699984167017,100.89816697076496,78.51805614524154
117,0.18,0.24,0.08,1.05,1.7921372736356969,1.0,28.05646014901268,1.008964999983617,-0.12198634484573134,-0.28077774394434374,-0.28041762506757095,0.09801365515426866,-0.014777743944343724,-0.009417625067570934,-0.014777743944343724,100.05241340394365,78.21057113125951
118,0.18,0.24,0.1,1.05,1.7921372736356969,1.0,28.05646014901268,1.008964999983617,-0.12198634484573134,-0.28077774394434374,-0.28041762506757095,0.09801365515426866,-0.014777743944343724,-0.009417625067570934,-0.014777743944343724,100.05241340394365,78.21057113125951
119,0.18,0.24,0.12,1.05,1.7921372736356969,1.0,28.05646014901268,1.008964999983617,-0.12198634484573134,-0.28077774394434374,-0.28041762506757095,0.09801365515426866,-0.014777743944343724,-0.009417625067570934,-0.014777743944343724,100.05241340394365,78.21057113125951
120,0.18,0.24,0.14,1.05,1.7921372736356969,1.0,28.05646014901268,1.008964999983617,-0.12198634484573134,-0.28077774394434374,-0.28041762506757095,0.09801365515426866,-0.014777743944343724,-0.009417625067570934,-0.014777743944343724,100.05241340394365,78.21057113125951
121,0.18,0.28,0.08,0.95,1.7910137286739896,1.0,27.47443809966083,1.0298929709371392,-0.11454735328581256,-0.2721944276112127,-0.27185919928573044,0.10545264671418744,-0.006194427611212694,-0.0008591992857304165,-0.006194427611212694,101.06127794036702,78.1800835259757
122,0.18,0.28,0.1,0.95,1.7910137286739896,1.0,27.47443809966083,1.0298929709371392,-0.11454735328581256,-0.2721944276112127,-0.27185919928573044,0.10545264671418744,-0.006194427611212694,-0.0008591992857304165,-0.006194427611212694,101.06127794036702,78.1800835259757
123,0.18,0.28,0.12,0.95,1.7910137286739896,1.0,27.47443809966083,1.0298929709371392,-0.11454735328581256,-0.2721944276112127,-0.27185919928573044,0.10545264671418744,-0.006194427611212694,-0.0008591992857304165,-0.006194427611212694,101.06127794036702,78.1800835259757
124,0.18,0.28,0.14,0.95,1.7910137286739896,1.0,27.47443809966083,1.0298929709371392,-0.11454735328581256,-0.2721944276112127,-0.27185919928573044,0.10545264671418744,-0.006194427611212694,-0.0008591992857304165,-0.006194427611212694,101.06127794036702,78.1800835259757
125,0.14,0.24,0.08,1.05,1.7921372736356969,1.0,27.719984475226227,1.029918465224775,-0.09618675044793856,-0.22549466474687874,-0.27643869998416704,0.12381324955206144,0.04050533525312128,-0.005438699984167017,-0.005438699984167017,100.27533943986093,78.03644438828081
126,0.14,0.24,0.1,1.05,1.7921372736356969,1.0,27.719984475226227,1.029918465224775,-0.09618675044793856,-0.22549466474687874,-0.27643869998416704,0.12381324955206144,0.04050533525312128,-0.005438699984167017,-0.005438699984167017,100.27533943986093,78.03644438828081
127,0.14,0.24,0.12,1.05,1.7921372736356969,1.0,27.719984475226227,1.029918465224775,-0.09618675044793856,-0.22549466474687874,-0.27643869998416704,0.12381324955206144,0.04050533525312128,-0.005438699984167017,-0.005438699984167017,100.27533943986093,78.03644438828081
128,0.14,0.24,0.14,1.05,1.7921372736356969,1.0,27.719984475226227,1.029918465224775,-0.09618675044793856,-0.22549466474687874,-0.27643869998416704,0.12381324955206144,0.04050533525312128,-0.005438699984167017,-0.005438699984167017,100.27533943986093,78.03644438828081
129,0.2,0.24,0.08,1.05,1.7921372736356969,1.0,28.03404054209809,1.0085901658230276,-0.12208396749519335,-0.28153452185653316,-0.2811747489629479,0.09791603250480665,-0.015534521856533146,-0.0101747489629479,-0.015534521856533146,99.70326512425305,78.00971852810656
