rank,stress_cap,derisk_cap,panic_cap,overall_scale,risk_on_scale,derisk_scale,panic_scale,min_median_terminal,min_pass_rate_terminal,avg_full_terminal,avg_full_sharpe,worst_fold_maxdd,worst_stress_maxdd,full_candidate_maxdd,fold_margin,stress_margin,full_margin,min_margin,wealth_dd_ratio
373,0.16,0.38,0.07,0.98,1.0,1.01,0.8,1.6553581244342923,1.0,26.486887275168762,1.0395123713329402,-0.1096286314484245,-0.25221265782254776,-0.2669207311340466,0.1103713685515755,0.013787342177452255,0.004079268865953445,0.004079268865953445,99.23128549302207
374,0.16,0.38,0.07,0.98,1.0,1.01,0.83,1.6553581244342923,1.0,26.486887275168762,1.0395123713329402,-0.1096286314484245,-0.25221265782254776,-0.2669207311340466,0.1103713685515755,0.013787342177452255,0.004079268865953445,0.004079268865953445,99.23128549302207
375,0.16,0.38,0.07,0.98,1.0,1.01,0.85,1.6553581244342923,1.0,26.486887275168762,1.0395123713329402,-0.1096286314484245,-0.25221265782254776,-0.2669207311340466,0.1103713685515755,0.013787342177452255,0.004079268865953445,0.004079268865953445,99.23128549302207
376,0.16,0.38,0.07,0.98,1.0,1.01,0.87,1.6553581244342923,1.0,26.486887275168762,1.0395123713329402,-0.1096286314484245,-0.25221265782254776,-0.2669207311340466,0.1103713685515755,0.013787342177452255,0.004079268865953445,0.004079268865953445,99.23128549302207
377,0.15,0.38,0.06,1.0,1.02,1.0,0.8,1.6504013801141515,1.0,26.458409495438644,1.0367044753460504,-0.1032407985758611,-0.23758017684056676,-0.2659624560719238,0.1167592014241389,0.028419823159433255,0.005037543928076205,0.005037543928076205,99.48174598103252
378,0.15,0.38,0.06,1.0,1.02,1.0,0.83,1.6504013801141515,1.0,26.458409495438644,1.0367044753460504,-0.1032407985758611,-0.23758017684056676,-0.2659624560719238,0.1167592014241389,0.028419823159433255,0.005037543928076205,0.005037543928076205,99.48174598103252
379,0.15,0.38,0.06,1.0,1.02,1.0,0.85,1.6504013801141515,1.0,26.458409495438644,1.0367044753460504,-0.1032407985758611,-0.23758017684056676,-0.2659624560719238,0.1167592014241389,0.028419823159433255,0.005037543928076205,0.005037543928076205,99.48174598103252
380,0.15,0.38,0.06,1.0,1.02,1.0,0.87,1.6504013801141515,1.0,26.458409495438644,1.0367044753460504,-0.1032407985758611,-0.23758017684056676,-0.2659624560719238,0.1167592014241389,0.028419823159433255,0.005037543928076205,0.005037543928076205,99.48174598103252
381,0.15,0.38,0.07,1.0,1.02,1.0,0.8,1.6504013801141515,1.0,26.458409495438644,1.0367044753460504,-0.1032407985758611,-0.23758017684056676,-0.2659624560719238,0.1167592014241389,0.028419823159433255,0.005037543928076205,0.005037543928076205,99.48174598103252
382,0.15,0.38,0.07,1.0,1.02,1.0,0.83,1.6504013801141515,1.0,26.458409495438644,1.0367044753460504,-0.1032407985758611,-0.23758017684056676,-0.2659624560719238,0.1167592014241389,0.028419823159433255,0.005037543928076205,0.005037543928076205,99.48174598103252
383,0.15,0.38,0.07,1.0,1.02,1.0,0.85,1.6504013801141515,1.0,26.458409495438644,1.0367044753460504,-0.1032407985758611,-0.23758017684056676,-0.2659624560719238,0.1167592014241389,0.028419823159433255,0.005037543928076205,0.005037543928076205,99.48174598103252
384,0.15,0.38,0.07,1.0,1.02,1.0,0.87,1.6504013801141515,1.0,26.458409495438644,1.0367044753460504,-0.1032407985758611,-0.23758017684056676,-0.2659624560719238,0.1167592014241389,0.028419823159433255,0.005037543928076205,0.005037543928076205,99.48174598103252
385,0.16,0.38,0.06,0.99,1.06,1.01,0.8,1.6515636897295733,1.0,26.452543414349417,1.0278690168702458,-0.10965845981046463,-0.25175236705825255,-0.2667891773558282,0.11034154018953538,0.014247632941747468,0.00421082264417183,0.00421082264417183,99.15148611545258
386,0.16,0.38,0.06,0.99,1.06,1.01,0.83,1.6515636897295733,1.0,26.452543414349417,1.0278690168702458,-0.10965845981046463,-0.25175236705825255,-0.2667891773558282,0.11034154018953538,0.014247632941747468,0.00421082264417183,0.00421082264417183,99.15148611545258
387,0.16,0.38,0.06,0.99,1.06,1.01,0.85,1.6515636897295733,1.0,26.452543414349417,1.0278690168702458,-0.10965845981046463,-0.25175236705825255,-0.2667891773558282,0.11034154018953538,0.014247632941747468,0.00421082264417183,0.00421082264417183,99.15148611545258
388,0.16,0.38,0.06,0.99,1.06,1.01,0.87,1.6515636897295733,1.0,26.452543414349417,1.0278690168702458,-0.10965845981046463,-0.25175236705825255,-0.2667891773558282,0.11034154018953538,0.014247632941747468,0.00421082264417183,0.00421082264417183,99.15148611545258
389,0.16,0.38,0.07,0.99,1.06,1.01,0.8,1.6515636897295733,1.0,26.452543414349417,1.0278690168702458,-0.10965845981046463,-0.25175236705825255,-0.2667891773558282,0.11034154018953538,0.014247632941747468,0.00421082264417183,0.00421082264417183,99.15148611545258
390,0.16,0.38,0.07,0.99,1.06,1.01,0.83,1.6515636897295733,1.0,26.452543414349417,1.0278690168702458,-0.10965845981046463,-0.25175236705825255,-0.2667891773558282,0.11034154018953538,0.014247632941747468,0.00421082264417183,0.00421082264417183,99.15148611545258
391,0.16,0.38,0.07,0.99,1.06,1.01,0.85,1.6515636897295733,1.0,26.452543414349417,1.0278690168702458,-0.10965845981046463,-0.25175236705825255,-0.2667891773558282,0.11034154018953538,0.014247632941747468,0.00421082264417183,0.00421082264417183,99.15148611545258
392,0.16,0.38,0.07,0.99,1.06,1.01,0.87,1.6515636897295733,1.0,26.452543414349417,1.0278690168702458,-0.10965845981046463,-0.25175236705825255,-0.2667891773558282,0.11034154018953538,0.014247632941747468,0.00421082264417183,0.00421082264417183,99.15148611545258
